"1";"1";"Inform";"알리다";"2";"852";"890"
"2";"1";"Advise";"충고하다";"2";"787";"820"
"3";"1";"Service";"봉사";"1";"814";"876"
"4";"1";"Provide";"공급하다, 준비하다";"3";"830";"871"
"5";"1";"Relationship";"관계";"1";"804";"846"
"6";"1";"Behave";"행동하다";"1";"811";"829"
"7";"1";"Improve";"향상시키다(하다) ";"2";"857";"906"
"8";"1";"Individual";"개인(의)";"3";"870";"931"
"9";"1";"Require";"필요로 하다, 요구하다";"3";"851";"899"
"10";"1";"Develop";"개발하다";"1";"833";"859"
"11";"1";"Social";"사회의";"2";"819";"833"
"12";"1";"Amount";" 총계(가 ~이 되다), 양";"2";"827";"846"
"13";"1";"Employ";"고용하다";"3";"819";"843"
"14";"1";"Terrible";"끔찍한";"3";"828";"854"
"15";"1";"Attitude";"입장";"3";"791";"830"
"16";"1";"Research";"연구(하다)";"2";"872";"889"
"17";"1";"Audience";"관객";"3";"868";"919"
"18";"1";"Volunteer";"자발적으로 ~하다";"2";"821";"865"
"19";"1";"Influence";"영향(을 끼치다) ";"3";"798";"993"
"20";"1";"International";"국제의";"2";"803";"835"
"21";"1";"Opportunity";"기회 ";"3";"822";"858"
"22";"1";"Ability";"능력";"2";"859";"881"
"23";"1";"Expense";"지출 ";"1";"823";"879"
"24";"1";"Involve";"포함하다, 말려들게 하다";"3";"830";"878"
"25";"1";"Stress";"강조(하다)";"2";"799";"854"
"26";"1";"Therefore";"그러므로";"1";"806";"849"
"27";"1";"Average";"평균(의)(이~가되다)";"2";"877";"915"
"28";"1";"Ride";"(탈 것을)타다 ";"1";"838";"865"
"29";"1";"Local";"지역의";"3";"835";"863"
"30";"1";"Encourage";"촉구하다";"2";"813";"867"
"31";"1";"Determine";"결심하다";"3";"781";"818"
"32";"1";"Comfort";"편안(하게 하다), 위로";"3";"834";"867"
"33";"1";"Consume";"소비하다";"3";"796";"842"
"34";"1";"Object";"물체, 목표";"3";"845";"880"
"35";"1";"Impress";"~에게 깊은 인상을 주다 ";"2";"853";"897"
"36";"1";"Available";"이용 가능한";"3";"795";"820"
"37";"1";"Contain";"함유하다";"3";"794";"843"
"38";"1";"Revenue";"수입, 수익";"2";"816";"867"
"39";"1";"Recognize";"인지하다, 인정하다";"3";"779";"804"
"40";"1";"Material";"재료, 물질(의)";"2";"817";"848"
"41";"2";"Positive";"긍정적인 ";"3";"571";"579"
"42";"2";"Emotion";"감정 ";"2";"578";"585"
